Original_Order,handle,Progress
9578,32072,Y
9584,32078,Y
9585,32079,Y
9586,32080,Y
9588,32082,Y
9589,32083,Y
9590,32084,Y
9593,32088,Y
9594,32089,Y
9596,32091,Y
9597,32092,Y
9598,32094,Y
9599,32097,Y
9600,32103,Y
9601,32104,Y
9602,32105,Y
9603,32106,Y
9604,32107,Y
9605,32108,Y
9606,32120,Y
9607,32121,Y
9608,32122,Y
9610,32126,Y
9611,33760,Y
9612,33761,Y
9614,33766,Y
9615,34193,Y
9617,34195,Y
9620,34198,Y
9622,34200,Y
9623,34201,Y
9624,34202,Y
9625,34203,Y
9626,34204,Y
9627,34205,Y
9629,34207,Y
9631,34209,Y
9634,34212,Y
9635,34213,Y
9636,34214,Y
9637,34215,Y
9639,34217,Y
9640,34218,Y
9642,34220,Y
9643,34221,Y
9646,34224,Y
9647,34225,Y
9648,34226,Y
9649,34227,Y
9650,34228,Y
9652,34230,Y
9654,34232,Y
9656,34234,Y
9659,34237,Y
9660,34238,Y
9661,34240,Y
9668,34247,Y
9669,34248,Y
9670,34249,Y
9671,34250,Y
9672,34251,Y
9673,34252,Y
9674,34253,Y
9677,34256,Y
9678,34257,Y
9679,34258,Y
9685,34264,Y
9688,34267,Y
9689,34268,Y
9693,34272,Y
9695,34274,Y
9696,34275,Y
9700,34279,Y
9702,34281,Y
9703,34282,Y
9704,34283,Y
9705,34284,Y
9706,34285,Y
9707,34286,Y
9710,34289,Y
9712,34291,Y
9714,34293,Y
9715,34294,Y
9718,34297,Y
9719,34298,Y
9721,34300,Y
9722,34301,Y
9724,34303,Y
9726,34305,Y
9728,34307,Y
9731,34310,Y
9732,34311,Y
9739,34318,Y
9741,34320,Y
9745,34324,Y
9748,34327,Y
9749,34328,Y
9750,34329,Y
9753,34332,Y
9754,34333,Y
9758,34337,Y
9759,34338,Y
9760,34339,Y
9761,34340,Y
9762,34341,Y
9764,34343,Y
9766,34345,Y
9767,34346,Y
9768,34347,Y
9771,34350,Y
9772,34351,Y
9773,34352,Y
9774,34353,Y
9775,34354,Y
9776,34355,Y
9777,34356,Y
9778,34357,Y
9780,34359,Y
9781,34360,Y
9782,34361,Y
9783,34362,Y
9785,34364,Y
9786,34365,Y
9793,34372,Y
9794,34373,Y
9796,34375,Y
9797,34376,Y
9799,34378,Y
9800,34379,Y
9802,34381,Y
9807,34387,Y
9808,34388,Y
9810,34390,Y
9811,34391,Y
9812,34392,Y
9813,34393,Y
9814,34394,Y
9815,34395,Y
9816,34396,Y
9818,34398,Y
9823,34403,Y
9826,34406,Y
9827,34407,Y
9830,34410,Y
9832,34412,Y
9834,34414,Y
9836,34416,Y
9837,34417,Y
9839,34419,Y
9844,34424,Y
9846,34426,Y
9847,34427,Y
9849,34429,Y
9851,34431,Y
9852,34432,Y
9853,34433,Y
9855,34435,Y
9856,34436,Y
9857,34437,Y
9859,34439,Y
9860,34440,Y
9861,34441,Y
9862,34442,Y
9865,34445,Y
9868,34448,Y
9869,34449,Y
9877,34457,Y
9878,34458,Y
9882,34462,Y
9883,34463,Y
9884,34464,Y
9885,34465,Y
9886,34466,Y
9887,34467,Y
9888,34468,Y
9894,34474,Y
9896,34476,Y
9897,34477,Y
9899,34479,Y
9900,34480,Y
9901,34481,Y
9902,34482,Y
9905,34485,Y
9906,34486,Y
9907,34487,Y
9908,34488,Y
9912,34492,Y
9914,34494,Y
9920,34500,Y
9921,34501,Y
9922,34502,Y
9923,34503,Y
9926,34506,Y
9928,34508,Y
9930,34510,Y
9933,34513,Y
9935,34515,Y
9936,34516,Y
9937,34517,Y
9938,34518,Y
9940,34520,Y
9943,34523,Y
9944,34524,Y
9945,34525,Y
9946,34526,Y
9947,34527,Y
9948,34528,Y
9952,34532,Y
9953,34533,Y
9954,34534,Y
9956,34536,Y
9958,34539,Y
9959,34540,Y
9960,34541,Y
9961,34542,Y
