Original_Order,handle,Progress
706,16479,Y
707,16480,Y
709,16482,Y
713,16486,Y
714,16487,Y
715,16488,Y
716,16489,Y
717,16490,Y
720,16493,Y
726,16499,Y
734,16509,Y
735,16513,Y
736,16519,Y
737,16521,Y
739,16523,Y
741,16525,Y
742,16526,Y
744,16528,Y
747,16531,Y
749,16533,Y
751,16535,Y
753,16537,Y
755,16543,Y
756,16545,Y
757,16556,Y
758,16558,Y
761,16591,Y
762,16620,Y
763,16115,Y
764,16700,Y
765,16701,Y
769,16705,Y
774,16710,Y
776,16712,Y
778,16714,Y
781,16717,Y
783,16719,Y
789,16725,Y
790,16726,Y
793,16729,Y
794,16730,Y
795,16731,Y
796,16732,Y
797,16733,Y
798,16734,Y
800,16736,Y
802,16738,Y
803,16739,Y
804,16740,Y
805,16741,Y
806,16742,Y
807,16743,Y
808,16744,Y
810,16746,Y
812,16748,Y
813,16749,Y
814,16750,Y
815,16751,Y
818,16754,Y
820,16756,Y
821,16757,Y
822,16758,Y
823,16759,Y
824,16760,Y
828,16764,Y
829,16765,Y
830,16766,Y
831,16767,Y
832,16768,Y
835,16771,Y
836,16772,Y
837,16773,Y
838,16774,Y
839,16775,Y
842,16778,Y
845,16781,Y
846,16782,Y
847,16783,Y
848,16784,Y
849,16785,Y
851,16787,Y
852,16788,Y
855,16791,Y
857,16793,Y
860,16796,Y
861,16797,Y
862,16798,Y
864,16800,Y
865,16801,Y
867,16803,Y
871,16807,Y
872,16808,Y
873,16809,Y
874,16810,Y
875,16811,Y
876,16812,Y
877,16813,Y
878,16814,Y
879,16815,Y
880,16816,Y
884,16820,Y
885,16821,Y
886,16822,Y
889,16825,Y
890,16826,Y
893,16829,Y
895,16831,Y
896,16832,Y
897,16833,Y
898,16834,Y
899,16835,Y
900,16836,Y
903,16839,Y
904,16840,Y
905,16841,Y
907,16843,Y
910,16846,Y
914,16850,Y
915,16851,Y
917,16853,Y
918,16854,Y
920,16856,Y
921,16857,Y
923,16859,Y
926,16862,Y
927,16863,Y
929,16865,Y
930,16866,Y
931,16867,Y
932,16868,Y
933,16869,Y
934,16870,Y
935,16871,Y
936,16872,Y
937,16873,Y
938,16874,Y
939,16875,Y
940,16876,Y
941,16877,Y
942,16878,Y
943,16879,Y
944,16880,Y
945,16881,Y
946,16882,Y
948,16884,Y
949,16885,Y
951,16887,Y
952,16888,Y
953,16889,Y
955,16891,Y
957,16893,Y
959,16895,Y
960,16896,Y
961,16897,Y
963,16899,Y
965,16901,Y
967,16903,Y
969,16905,Y
974,16910,Y
978,16914,Y
980,16916,Y
982,16918,Y
984,16920,Y
986,16922,Y
988,16924,Y
991,16927,Y
993,16929,Y
994,16930,Y
998,16934,Y
1000,16936,Y
1001,16937,Y
1002,16938,Y
1003,16939,Y
1005,16941,Y
1006,16942,Y
1007,16952,Y
1008,16953,Y
1009,16954,Y
1012,16957,Y
1013,16958,Y
1018,16963,Y
1021,16966,Y
1022,16967,Y
1024,16969,Y
1027,16972,Y
1030,16975,Y
1034,16979,Y
1036,16981,Y
1037,16982,Y
1038,16983,Y
1041,16986,Y
1043,16988,Y
1044,16989,Y
1045,16990,Y
1048,16993,Y
1049,16994,Y
1050,16995,Y
1051,16996,Y
1053,16998,Y
1054,16999,Y
1058,17003,Y
1059,17004,Y
1060,17005,Y
1064,17009,Y
1067,17012,Y
1068,17013,Y
1069,17014,Y
1072,17017,Y
1073,17018,Y
1074,17019,Y
1076,17021,Y
1077,17022,Y
1080,17025,Y
1081,17026,Y
1085,17030,Y
1086,17031,Y
1087,17032,Y
1089,17034,Y
1090,17035,Y
1091,17036,Y
1093,17038,Y
1095,17040,Y
1096,17041,Y
1097,17042,Y
1098,17043,Y
1099,17044,Y
1100,17045,Y
1101,17046,Y
1103,17048,Y
1104,17049,Y
1107,17052,Y
1108,17053,Y
1110,17055,Y
1111,17056,Y
1115,17060,Y
1116,17061,Y
1118,17063,Y
1120,17065,Y
1122,17067,Y
1125,17070,Y
1126,17071,Y
1127,17072,Y
1128,17073,Y
1129,17074,Y
1130,17075,Y
1132,17342,Y
1134,17359,skip
1137,17386,Y
1138,17387,Y
1139,17396,Y
1140,17409,Y
1141,17417,Y
1143,17467,Y
1145,18214,Y
1146,18215,Y
1147,18216,Y
1151,18220,Y
1152,18221,Y
1153,18222,Y
1155,18224,Y
1156,18225,Y
1157,18226,Y
1158,18227,Y
1160,18229,Y
1161,18230,Y
1162,18231,Y
1163,18232,Y
1164,18233,Y
1165,18234,Y
1166,18235,Y
1169,18238,Y
1171,18240,Y
1172,18241,Y
1173,18242,Y
1174,18243,Y
1177,18246,Y
1178,18247,Y
1179,18248,Y
1181,18250,Y
1183,18252,Y
1184,18253,Y
1186,18255,Y
1187,18256,Y
1191,18260,Y
1192,18261,Y
1194,18263,Y
1195,18264,Y
1196,18265,Y
1197,18266,Y
1198,18267,Y
1199,18268,Y
1202,18271,Y
1203,18272,Y
1205,18274,Y
1206,18275,Y
1207,18276,Y
1208,18277,Y
1210,18279,Y
1211,18280,Y
1213,18282,Y
1214,18283,Y
1215,18284,Y
1216,18285,Y
1217,18286,Y
1218,18287,Y
1219,18288,Y
1220,18289,Y
1221,18290,Y
1225,18294,Y
1226,18295,Y
1227,18296,Y
1228,18297,Y
1230,18299,Y
1232,18301,Y
1233,18302,Y
1234,18303,Y
1238,18307,Y
1239,18308,Y
1242,18311,Y
1243,18312,Y
1244,18313,Y
1246,18315,Y
1247,18316,Y
1249,18318,Y
1252,18321,Y
1254,18323,Y
1255,18324,Y
1256,18325,Y
1257,18326,Y
1261,18330,Y
1263,18332,Y
1264,18333,Y
1265,18334,Y
1266,18335,Y
1269,18338,Y
1270,18339,Y
1274,18343,Y
1275,18344,Y
1277,18346,Y
1278,18347,Y
1279,18348,Y
1280,18349,Y
1281,18350,Y
1282,18351,Y
1284,18353,Y
1286,18355,Y
1290,18359,Y
1291,18360,Y
1294,18363,Y
1295,18364,Y
1296,18365,Y
1297,18366,Y
1298,18367,Y
1299,18368,Y
1300,18369,Y
1302,18371,Y
1303,18372,Y
1304,18373,Y
1307,18376,Y
1309,18378,Y
1312,18381,Y
1313,18382,Y
1314,18383,Y
1316,18385,Y
1317,18386,Y
1320,18389,Y
1321,18390,Y
1324,18393,Y
1325,18394,Y
1326,18395,Y
1328,18397,Y
1330,18399,Y
1331,18400,Y
1332,18401,Y
1335,18404,Y
1337,18406,Y
1338,18407,Y
1339,18408,Y
1344,18413,Y
1345,18414,Y
1346,18415,Y
1347,18416,Y
1348,18417,Y
1350,18419,Y
1351,18420,Y
1353,18422,Y
1354,18423,Y
1356,18425,Y
1357,18426,Y
1358,18427,Y
1359,18428,Y
1360,18429,Y
1361,18430,Y
1365,18434,Y
1366,18435,Y
1367,18436,Y
1368,18437,Y
1369,18438,Y
1372,18441,Y
1375,18444,Y
1376,18445,Y
1377,18446,Y
1378,18447,Y
1379,18448,Y
1381,18450,Y
1382,18451,Y
1383,18452,Y
1385,18454,Y
1386,18455,Y
1387,18456,Y
1388,18457,Y
1390,18459,Y
1391,18460,Y
1392,18461,Y
1393,18462,Y
1394,18463,Y
1395,18464,Y
1399,18468,Y
1400,18469,Y
1401,18470,skip
1406,18475,Y
1407,18476,Y
1408,18477,Y
1411,18480,Y
1413,18482,Y
1414,18485,Y
1416,18487,Y
1419,18490,Y
1420,18491,Y
1421,18492,Y
1422,18493,Y
1423,18494,Y
1424,18495,Y
1429,18500,Y
1430,18501,Y
1432,18503,Y
1436,18507,Y
1437,18508,Y
1440,18511,Y
1441,18512,Y
1442,18513,Y
1443,18514,Y
1444,18515,Y
1445,18516,Y
1446,18517,Y
1447,18518,Y
1450,18521,Y
1453,18524,Y
1454,18525,Y
1457,18528,Y
1458,18529,Y
1461,18532,Y
1463,18534,Y
1464,18535,Y
1465,18536,Y
1467,18538,Y
1468,18539,Y
1469,18540,Y
1470,18541,Y
1472,18543,Y
1473,18544,Y
1474,18545,Y
1476,18547,Y
1477,18548,Y
1479,18550,Y
1482,18553,Y
1483,18554,Y
1485,18556,Y
1486,18557,Y
1487,18558,Y
1488,18559,Y
1489,18560,Y
1490,18561,Y
1491,18562,Y
1493,18564,Y
1494,18565,Y
1495,18566,Y
1496,18567,Y
1499,18570,Y
1500,18571,Y
1504,18575,Y
1505,18576,Y
1506,18577,Y
1514,18585,Y
1515,18586,Y
1523,18594,Y
1524,18595,Y
1525,18596,Y
1527,18598,Y
1528,18599,Y
1529,18600,Y
1530,18601,Y
1531,18602,Y
1532,18603,Y
1536,18607,Y
1537,18608,Y
1539,18610,Y
1541,18612,Y
1545,18616,Y
1548,18619,Y
1549,18620,Y
