Original_Order,handle,Progress
21029,64269,Y
21030,64270,Y
21031,64271,Y
21032,64272,Y
21033,64273,Y
21034,64274,Y
21035,64275,skip
21036,64276,Y
21037,64277,skip
21038,64278,Y
21039,64279,Y
21040,64280,Y
21041,64281,Y
21042,64282,Y
21043,64283,Y
21044,64284,Y
21045,64285,Y
21047,64287,Y
21048,64288,Y
21049,64289,Y
21050,64290,skip
21051,64291,Y
21052,64292,Y
21053,64293,Y
21054,64294,Y
21055,64295,Y
21056,64296,Y
21057,64297,Y
21058,64298,Y
21059,64299,Y
21061,64301,Y
21062,64302,Y
21063,64303,skip
21064,64304,Y
21065,64305,Y
21066,64306,Y
21067,64307,Y
21068,64308,skip
21070,64310,skip
21071,64311,Y
21072,64312,Y
21073,64313,skip
21074,64314,skip
21075,64315,Y
21076,64316,Y
21079,64319,Y
21080,64320,Y
21082,64322,Y
21083,64323,Y
21085,64325,Y
21086,64326,Y
21087,64327,Y
21088,64328,Y
21089,64329,Y
21090,64330,Y
21091,64331,skip
21092,64332,Y
21093,64333,skip
21094,64334,Y
21095,64335,Y
21097,64337,Y
21100,64340,Y
21102,64342,Y
21104,64344,Y
21105,64345,Y
21106,64346,Y
21107,64347,Y
21108,64348,Y
21109,64349,Y
21110,64350,Y
21111,64351,Y
21112,64352,Y
21113,64353,Y
21115,64355,Y
21116,64356,Y
21117,64357,Y
21118,64358,Y
21119,64359,Y
21120,64360,Y
21121,64361,skip
21122,64362,Y
21123,64363,Y
21125,64365,Y
21126,64366,Y
21127,64367,Y
21128,64368,Y
21129,64369,Y
21130,64370,Y
21131,64371,Y
21134,64374,skip
21135,64375,Y
21136,64376,Y
21137,64377,Y
21138,64378,Y
21139,64379,skip
21141,64381,Y
21142,64382,Y
21143,64383,Y
21144,64384,Y
21145,64385,Y
21146,64386,Y
21147,64387,Y
21148,64388,Y
21149,64389,Y
21150,64390,Y
21151,64391,Y
21152,64392,Y
21153,64393,Y
21154,64394,Y
21155,64395,Y
21156,64396,Y
21157,64397,Y
21158,64398,Y
21159,64399,Y
21161,64401,Y
21162,64402,Y
21164,64404,Y
21165,64405,Y
21166,64406,Y
21167,64407,Y
21168,64408,Y
21169,64409,Y
21170,64410,Y
21171,64411,Y
21173,64413,Y
21174,64414,Y
21176,64416,Y
21177,64417,Y
21178,64418,Y
21179,64419,Y
21180,64420,Y
21181,64421,Y
21183,64423,Y
21185,64425,Y
21187,64427,skip
21188,64428,Y
21191,64431,Y
21192,64432,Y
21193,64433,Y
21194,64434,Y
21200,64440,Y
21201,64441,Y
21202,64442,Y
21203,64443,Y
21207,64447,Y
21208,64448,Y
21211,64451,Y
21212,64452,Y
21213,64453,Y
21214,64454,Y
21216,64456,Y
21217,64457,Y
21220,64460,Y
21221,64461,Y
21222,64462,Y
21224,64464,Y
21225,64465,Y
21227,64467,Y
21228,64468,Y
21229,64469,Y
21230,64470,Y
21232,64472,Y
21233,64473,Y
21235,64475,Y
21236,64476,Y
21237,64477,Y
21238,64478,Y
21239,64479,Y
21240,64480,Y
21241,64481,Y
21242,64482,Y
21243,64483,Y
21244,64484,Y
21245,64485,Y
21246,64486,Y
21247,64487,Y
21248,64488,Y
21249,64489,Y
21250,64490,Y
21251,64491,Y
21252,64492,Y
21253,64493,Y
21254,64494,Y
21255,64495,Y
21256,64496,Y
21257,64497,Y
21258,64498,Y
21259,64499,Y
21260,64500,Y
21261,64501,Y
21262,64502,Y
21263,64503,Y
21264,64504,Y
21266,64506,Y
21267,64507,Y
21268,64508,Y
21272,64512,Y
21273,64513,Y
21274,64514,Y
21275,64515,Y
21276,64516,skip
21277,64517,Y
21279,64519,Y
21281,64521,Y
21282,64522,Y
21283,64523,Y
21284,64524,Y
21286,64526,Y
21294,64534,Y
21296,64536,Y
21298,64538,Y
21302,64542,Y
21303,64543,Y
21305,64545,Y
21307,64547,Y
21308,64548,Y
21311,64551,Y
21313,64553,Y
21314,64554,Y
21315,64555,Y
21316,64556,Y
21318,64558,Y
21320,64560,Y
21322,64562,Y
21327,64567,Y
21328,64568,Y
21329,64569,Y
21331,64571,Y
21334,64574,Y
21336,64576,Y
21337,64577,Y
21339,64579,Y
21340,64580,Y
21341,64581,Y
21342,64582,Y
21343,64583,Y
21344,64584,Y
21345,64585,Y
21346,64586,Y
21347,64587,Y
21349,64589,Y
21351,64591,Y
21353,64593,Y
21354,64594,Y
21355,64595,Y
21356,64596,Y
21357,64597,Y
21358,64598,Y
21359,64599,Y
21360,64600,Y
21361,64601,Y
21362,64602,Y
21363,64603,Y
21364,64604,Y
21365,64605,Y
21366,64606,Y
21367,64607,Y
21368,64608,Y
21369,64609,Y
21372,64612,Y
21373,64613,Y
21374,64614,Y
21375,64615,Y
21376,64616,Y
21377,64617,Y
21378,64618,Y
21379,64619,Y
21380,64620,Y
21381,64621,Y
21382,64622,Y
21384,64624,Y
21387,64627,Y
21388,64628,Y
21390,64630,Y
21394,64634,Y
21395,64635,Y
21397,64637,Y
21398,64638,Y
21399,64639,Y
21400,64640,Y
21401,64641,Y
21402,64642,Y
21405,64645,Y
21408,64648,Y
21409,64649,Y
21412,64652,Y
21414,64654,Y
21417,64657,Y
21418,64658,Y
21419,64659,Y
21420,64660,Y
21421,64661,Y
21422,64662,Y
21423,64663,Y
21424,64664,Y
21425,64665,Y
21426,64666,Y
21427,64667,Y
21429,64669,Y
21430,64670,Y
21431,64671,Y
21432,64672,Y
21433,64673,Y
21434,64674,Y
21435,64675,Y
21436,64676,Y
21437,64677,Y
21438,64678,Y
21439,64679,Y
21440,64680,Y
21441,64681,Y
21442,64682,Y
21443,64683,Y
21444,64684,Y
21445,64685,Y
21446,64686,Y
21447,64687,Y
21448,64688,Y
21449,64689,Y
21450,64690,Y
21451,64691,Y
21452,64692,Y
21453,64693,Y
21454,64694,Y
21455,64695,Y
21456,64696,Y
21458,64698,Y
21459,64699,Y
21460,64700,Y
21461,64701,Y
21462,64702,Y
21463,64703,Y
21464,64704,Y
21465,64705,Y
21466,64706,Y
21467,64707,Y
21468,64708,Y
21469,64709,Y
21470,64710,Y
21471,64711,Y
21472,64712,Y
21473,64713,Y
21474,64714,Y
21475,64715,Y
21476,64716,Y
21477,64717,Y
21478,64718,Y
21479,64719,Y
21480,64720,Y
21482,64722,Y
21483,64723,Y
21485,64725,Y
21486,64726,Y
21488,64728,Y
21489,64729,Y
21491,64731,Y
21492,64732,Y
21493,64733,Y
21494,64734,Y
21495,64735,Y
21496,64736,Y
21497,64737,Y
21498,64738,Y
21499,64739,Y
21500,64740,Y
21501,64741,Y
21502,64742,Y
21503,64743,Y
21504,64744,Y
21505,64745,Y
21506,64746,Y
21507,64747,Y
21509,64749,Y
21510,64750,Y
21511,64751,Y
21512,64752,Y
21513,64753,Y
21514,64754,Y
21515,64755,Y
21516,64756,Y
21517,64757,Y
21518,64758,Y
21519,64759,Y
21520,64760,Y
21521,64761,Y
21522,64762,Y
21523,64763,Y
21524,64764,Y
21525,64765,Y
21526,64766,Y
21527,64767,Y
21528,64768,Y
21529,64769,Y
21530,64770,Y
21531,64771,Y
21532,64772,Y
21533,64773,Y
21534,64774,Y
21535,64775,Y
21536,64776,Y
21537,64777,Y
21540,64780,Y
21542,64782,Y
21546,64786,Y
21548,64788,Y
21549,64789,Y
21550,64790,Y
21551,64791,Y
21553,64793,Y
21554,64794,Y
21558,64798,Y
21559,64799,Y
21560,64800,Y
21561,64801,Y
21562,64802,Y
21563,64803,Y
21564,64804,Y
21565,64805,Y
21566,64806,Y
21567,64807,Y
21568,64808,Y
21569,64809,Y
21570,64810,Y
21571,64811,Y
21572,64812,Y
21573,64813,Y
21574,64814,Y
21575,64815,Y
21576,64816,Y
21578,64818,Y
21579,64819,Y
21580,64820,Y
21581,64821,Y
21582,64822,Y
21583,64823,Y
21584,64824,Y
21585,64825,Y
21586,64826,Y
21587,64827,Y
21588,64828,Y
21589,64829,Y
21590,64830,Y
21592,64832,Y
21593,64833,Y
21594,64834,Y
21595,64835,Y
21596,64836,Y
21597,64837,Y
21598,64838,Y
21599,64839,Y
21600,64840,Y
21601,64841,Y
21602,64842,Y
21603,64843,Y
21604,64844,Y
21605,64845,Y
21606,64846,Y
21607,64847,Y
21608,64848,Y
21609,64849,Y
21610,64850,Y
21611,64851,Y
21612,64852,Y
21613,64853,Y
21615,64855,Y
21616,64856,Y
21617,64857,Y
21618,64858,Y
21619,64859,Y
21620,64860,Y
21621,64861,Y
21622,64862,Y
21623,64863,Y
21626,64866,Y
21627,64867,Y
21628,64868,Y
21629,64869,Y
21630,64870,Y
21631,64871,Y
21632,64872,Y
21633,64873,Y
21634,64874,Y
21635,64875,Y
21636,64876,Y
21637,64877,Y
21638,64878,Y
21639,64879,Y
21640,64880,Y
21641,64881,Y
21642,64882,Y
21643,64883,Y
21644,64884,Y
21645,64885,Y
21647,64887,Y
21648,64888,Y
21649,64889,Y
21650,64890,Y
21651,64891,Y
21652,64892,Y
21653,64893,Y
21654,64894,Y
21655,64895,Y
21656,64896,skip
21657,64897,Y
21658,64898,Y
21659,64899,Y
21660,64900,Y
21661,64901,Y
21662,64902,Y
21663,64903,Y
21665,64905,Y
21666,64906,Y
21667,64907,Y
21668,64908,Y
21669,64909,Y
21670,64910,Y
21671,64911,Y
21672,64912,Y
21673,64913,Y
21675,64915,Y
21676,64916,Y
21677,64917,Y
21678,64918,Y
21679,64920,Y
21680,64921,Y
21681,64922,Y
21682,64923,Y
21683,64924,Y
21684,64925,Y
21686,64927,Y
21687,64928,Y
21688,64929,Y
21689,64930,Y
21690,64931,Y
21691,64932,Y
21692,64933,Y
21693,64934,Y
21694,64935,Y
21695,64936,Y
21696,64937,Y
21698,64939,Y
21699,64940,Y
21700,64941,Y
21701,64942,Y
21702,64943,Y
21703,64944,Y
21704,64945,Y
21705,64946,Y
21706,64947,Y
21707,64948,Y
21708,64949,Y
21709,64950,Y
21710,64951,Y
21711,64953,Y
21712,64954,Y
21713,64955,Y
21714,64956,Y
21715,64957,Y
21716,64958,Y
21717,64959,Y
21718,64960,Y
21719,64961,Y
21720,64962,Y
21722,64964,Y
21723,64965,Y
21724,64966,Y
21725,64967,Y
21726,64968,Y
21728,64970,Y
21729,64971,Y
21730,64972,Y
21732,64974,Y
21733,64975,Y
21735,64977,Y
21736,64978,Y
21737,64979,Y
21739,64981,Y
21740,64982,Y
21741,64983,Y
21742,64984,Y
21743,64985,Y
21744,64986,Y
21746,64988,Y
21747,64989,Y
21748,64990,Y
21749,64991,Y
21750,64992,Y
21752,64994,skip
21753,64995,Y
21754,64996,Y
21755,64997,Y
21757,64999,Y
21758,65000,Y
21759,65001,Y
21760,65002,Y
21761,65003,Y
21762,65004,Y
21763,65005,Y
21764,65006,skip
21765,65007,Y
21766,65008,Y
21768,65010,Y
21769,65011,Y
21770,65012,Y
21771,65013,Y
21772,65014,Y
21773,65015,Y
21774,65016,Y
21775,65017,Y
21776,65018,Y
21777,65019,Y
21778,65020,Y
21779,65021,Y
21781,65023,Y
21782,65024,Y
21783,65025,Y
21784,65026,Y
21785,65027,Y
21786,65028,Y
21788,65030,Y
21789,65031,Y
21790,65032,Y
21791,65033,Y
21792,65034,Y
21793,65035,Y
21794,65036,Y
21795,65037,Y
21796,65038,Y
21797,65039,Y
21799,65041,Y
21802,65044,Y
21803,65045,Y
21804,65046,Y
21806,65048,Y
21807,65049,Y
21808,65050,Y
21809,65051,Y
21810,65052,Y
21811,65053,Y
21813,65055,Y
21815,65057,Y
21818,65060,Y
21819,65061,Y
21820,65062,Y
21821,65063,Y
21822,65064,Y
21823,65065,Y
21825,65067,Y
21826,65068,Y
21827,65069,Y
21831,65073,Y
21832,65074,Y
21833,65075,Y
21834,65076,Y
21835,65077,Y
21836,65078,Y
21837,65079,Y
21839,65081,Y
21840,65082,Y
21841,65083,Y
21842,65084,Y
21843,65085,Y
21844,65086,Y
21848,65090,Y
21849,65091,Y
21852,65094,Y
21853,65095,Y
21855,65097,Y
21856,65098,Y
21857,65099,Y
21858,65100,Y
21859,65101,Y
21860,65102,Y
21861,65103,Y
21863,65105,Y
21864,65106,Y
21865,65107,Y
21866,65108,Y
21867,65109,Y
21868,65110,Y
21869,65111,Y
21870,65112,Y
21871,65113,Y
21873,65115,Y
21874,65116,Y
21875,65117,Y
21876,65118,Y
21877,65119,Y
21878,65120,Y
21879,65121,Y
21880,65122,Y
21881,65123,Y
21882,65124,Y
21883,65125,Y
21884,65126,Y
21888,65130,Y
21889,65131,Y
21890,65132,Y
21891,65133,Y
21892,65134,Y
21893,65135,Y
21898,65140,Y
21899,65141,Y
21900,65142,Y
21901,65143,Y
21903,65145,Y
21904,65146,Y
21905,65147,Y
21907,65149,Y
21908,65150,Y
21909,65151,Y
21911,65153,Y
21912,65154,Y
21913,65155,Y
21914,65156,Y
21915,65157,Y
21917,65159,Y
21919,65161,Y
21920,65162,Y
21921,65163,Y
21925,65179,Y
21926,65180,Y
21927,65181,Y
21928,65182,Y
21929,65183,Y
21930,65184,Y
21931,65185,Y
21932,65186,Y
21933,65187,Y
21934,65188,Y
21935,65189,Y
21936,65190,Y
21937,65191,Y
21938,65192,Y
21939,65193,Y
21940,65194,Y
21941,65195,Y
21942,65196,Y
21943,65197,Y
21944,65198,Y
21945,65199,Y
21946,65200,Y
21948,65202,Y
21949,65203,Y
21950,65204,Y
21951,65205,Y
21952,65206,Y
21953,65207,Y
21956,65210,Y
21957,65211,Y
21958,65212,Y
21959,65213,Y
21960,65214,Y
21961,65215,Y
21962,65216,Y
21963,65217,Y
21964,65218,Y
21965,65219,Y
21966,65220,Y
21967,65221,Y
21968,65222,Y
21969,65223,Y
21970,65224,Y
21971,65225,Y
21972,65226,Y
21974,65228,Y
21975,65229,Y
21976,65230,Y
21977,65231,Y
21978,65232,Y
21979,65233,Y
21980,65234,Y
21981,65235,Y
21982,65236,Y
21983,65237,Y
21984,65238,Y
21985,65239,Y
21986,65240,Y
21987,65241,Y
21988,65242,Y
21990,65244,Y
21991,65245,Y
21992,65246,Y
21993,65247,Y
21994,65248,Y
21995,65249,Y
21996,65250,Y
21998,65252,Y
21999,65253,Y
22000,65254,Y
22001,65255,Y
22003,65257,Y
22004,65258,Y
22005,65259,Y
22006,65260,Y
22007,65261,Y
22008,65262,Y
22009,65263,Y
22010,65264,Y
22011,65265,Y
22012,65266,Y
22013,65267,Y
22015,65269,Y
22016,65270,Y
22018,65272,Y
22019,65273,Y
22020,65274,Y
22021,65275,Y
22022,65276,Y
22023,65277,Y
22024,65278,Y
22025,65279,Y
22026,65280,Y
22027,65281,Y
22028,65282,Y
22030,65284,Y
22031,65285,Y
22032,65286,Y
22033,65287,Y
22034,65288,Y
22036,65290,Y
22037,65291,Y
22038,65292,Y
22039,65293,Y
22040,65294,Y
22041,65295,Y
22042,65296,Y
22043,65297,Y
22044,65298,Y
22045,65299,Y
22046,65300,Y
22047,65301,Y
22048,65302,Y
22049,65303,Y
22050,65304,Y
22051,65305,Y
22052,65306,Y
22053,65307,Y
22054,65308,Y
22055,65309,Y
22056,65310,Y
22058,65312,Y
22059,65313,Y
22060,65314,Y
22061,65315,Y
22062,65316,Y
22063,65317,Y
22064,65318,Y
22065,65319,Y
22066,65320,Y
22067,65321,Y
22068,65322,Y
22069,65323,Y
22070,65324,Y
22071,65325,Y
22072,65326,Y
22073,65327,Y
22075,65329,Y
22076,65330,Y
22077,65331,Y
22078,65332,Y
22079,65333,Y
22080,65334,Y
22081,65335,Y
22082,65336,Y
22084,65338,Y
22085,65339,Y
22086,65340,Y
22087,65341,Y
22088,65342,Y
22090,65344,Y
22091,65345,Y
22092,65346,Y
22093,65347,Y
22094,65348,Y
22095,65349,Y
22096,65350,Y
22097,65351,Y
22098,65352,Y
22099,65353,Y
22100,65354,Y
22102,65356,Y
22103,65357,Y
22104,65358,Y
22105,65359,Y
22106,65360,Y
22107,65361,Y
22109,65363,Y
22110,65364,Y
22112,65366,Y
22114,65368,Y
22115,65369,Y
22116,65370,Y
22117,65371,Y
22118,65372,Y
22119,65373,Y
22120,65374,Y
22121,65375,Y
22122,65376,Y
22123,65377,Y
22124,65378,Y
22125,65379,Y
22126,65380,Y
22127,65381,Y
22128,65382,Y
22129,65383,Y
22130,65384,Y
22131,65385,Y
22133,65387,Y
22134,65388,Y
22137,65391,Y
22138,65392,Y
22139,65393,Y
22140,65394,Y
